,FIPS,State,County,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Adults with Obesity,Food Environment Index,% With Access to Exercise Opportunities,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,Population,% Unemployed,Income Ratio,Social Association Rate,Code,zip,Lat,Lon
0,54059,West Virginia,Mingo,14564.0,28,6.3,6.1,37,7.1,53.0,9.0,4825:01:00,16802.0,5950,7.6,5.3,8.3,WV,24846.0,37.53,-81.84999999999998
1,21171,Kentucky,Monroe,12131.0,24,5.2,5.0,37,7.8,46.0,8.0,2132:01:00,15420.0,2458,4.1,5.8,9.4,KY,42133.0,36.72,-85.96
2,40057,Oklahoma,Harmon,14123.0,22,4.4,4.4,32,8.2,79.0,24.0,2689:01:00,14776.0,704,2.9,4.9,14.9,OK,73544.0,34.66,-99.77
3,54045,West Virginia,Logan,15459.0,26,5.8,5.8,42,7.5,29.0,8.0,2058:01:00,14383.0,8350,7.0,5.5,6.7,WV,25022.0,37.86,-81.83
4,21055,Kentucky,Crittenden,10623.0,22,5.0,5.0,31,8.1,7.0,7.0,2271:01:00,13912.0,2101,5.2,4.7,14.3,KY,42033.0,37.27,-88.08
5,1133,Alabama,Winston,10860.0,21,4.8,5.0,38,8.0,76.0,13.0,2372:01:00,13447.0,5259,4.2,4.4,9.3,AL,35540.0,34.19,-87.17
6,21159,Kentucky,Martin,12927.0,28,5.6,5.3,41,7.2,49.0,7.0,2863:01:00,13308.0,3495,6.5,5.8,4.4,KY,41203.0,37.83,-82.43
7,21095,Kentucky,Harlan,14336.0,28,6.1,5.8,32,5.7,59.0,7.0,3339:01:00,13164.0,6533,7.4,5.6,9.0,KY,40801.0,36.83,-83.25
8,40029,Oklahoma,Coal,13485.0,21,4.7,4.9,35,6.4,48.0,21.0,5642:01:00,12894.0,1200,3.8,5.7,12.4,OK,74534.0,34.6,-96.34
9,21057,Kentucky,Cumberland,9517.0,23,5.0,4.9,37,7.7,11.0,8.0,2235:01:00,12534.0,1303,4.5,5.9,6.0,KY,42717.0,36.79,-85.36
10,17069,Illinois,Hardin,12782.0,18,4.1,4.3,25,7.8,78.0,7.0,1012:01:00,12206.0,929,7.8,4.6,7.4,IL,62919.0,37.53,-88.23
11,21193,Kentucky,Perry,16131.0,26,5.4,5.2,41,7.3,79.0,7.0,781:01:00,12206.0,6713,6.3,5.9,6.0,KY,40870.0,36.94,-83.11
12,1035,Alabama,Conecuh,10822.0,29,5.4,5.4,43,5.6,37.0,12.0,2494:01:00,12070.0,2639,5.2,4.5,7.2,AL,36401.0,31.43,-86.95
13,27135,Minnesota,Roseau,6269.0,12,3.0,3.1,35,8.3,48.0,6.0,1916:01:00,11923.0,3340,3.3,3.4,15.7,MN,56673.0,48.8,-95.1
14,21053,Kentucky,Clinton,9211.0,24,5.4,5.3,35,7.8,30.0,8.0,2569:01:00,11805.0,2326,5.5,4.8,4.9,KY,42602.0,36.69,-85.13
15,48083,Texas,Coleman,10396.0,20,4.2,4.4,25,6.6,69.0,23.0,1686:01:00,11721.0,1811,4.0,4.4,23.7,TX,76828.0,31.99,-99.22
16,21071,Kentucky,Floyd,14452.0,29,6.1,5.8,41,6.9,48.0,6.0,1649:01:00,11617.0,9031,6.6,5.4,7.2,KY,41216.0,37.74,-82.79
17,28021,Mississippi,Claiborne,14651.0,37,6.1,5.5,41,3.5,0.0,14.0,2238:01:00,11397.0,1829,9.2,5.5,4.5,MS,39086.0,32.02,-90.8
18,5149,Arkansas,Yell,11025.0,25,4.8,4.7,38,7.7,54.0,12.0,1794:01:00,11211.0,5062,4.2,4.4,11.2,AR,72824.0,35.09,-93.44
19,47135,Tennessee,Perry,12483.0,25,5.2,5.2,29,6.7,13.0,14.0,3988:01:00,10989.0,1794,4.3,6.2,5.0,TN,37096.0,35.61,-87.84
20,48195,Texas,Hansford,7871.0,24,4.3,4.3,25,5.4,88.0,26.0,2724:01:00,646.0,1394,2.3,3.9,14.7,TX,79040.0,36.25,-101.41
21,53031,Washington,Jefferson,6941.0,12,3.5,4.1,24,7.5,85.0,8.0,1201:01:00,683.0,5167,5.8,4.3,9.6,WA,98320.0,47.69,-122.99
22,16021,Idaho,Boundary,7105.0,15,4.0,4.2,29,7.2,86.0,18.0,2384:01:00,756.0,2394,4.4,3.7,7.5,ID,83805.0,48.75,-116.51
23,49029,Utah,Morgan,4981.0,10,3.0,3.4,19,8.9,89.0,7.0,913:01:00,836.0,2588,2.8,3.4,0.0,UT,84018.0,41.13,-111.54
24,30001,Montana,Beaverhead,5051.0,14,3.6,3.5,27,7.6,80.0,12.0,726:01:00,911.0,1847,3.1,4.9,10.6,MT,59724.0,44.78,-112.62
25,41001,Oregon,Baker,8173.0,15,4.0,4.5,31,6.4,73.0,8.0,1147:01:00,926.0,3486,5.5,4.4,17.4,OR,97814.0,44.81,-117.74
26,8019,Colorado,Clear Creek,5065.0,10,2.9,3.3,22,8.7,82.0,6.0,9574:01:00,942.0,2166,3.0,3.6,4.2,CO,80436.0,39.78,-105.6
27,37175,North Carolina,Transylvania,7499.0,16,4.1,4.1,27,8.1,90.0,15.0,1258:01:00,986.0,6362,3.8,3.8,16.8,NC,28708.0,35.22,-82.87
28,53055,Washington,San Juan,4088.0,13,3.7,4.0,18,8.7,86.0,9.0,1286:01:00,1113.0,2931,3.9,4.7,12.6,WA,98222.0,48.56,-122.8
29,8037,Colorado,Eagle,3057.0,12,3.0,3.4,13,9.1,98.0,12.0,1304:01:00,1140.0,17666,2.7,3.5,7.9,CO,80423.0,39.87,-106.7
30,55107,Wisconsin,Rusk,6264.0,14,3.8,3.8,27,7.4,41.0,9.0,1769:01:00,1196.0,2585,4.0,3.8,9.9,WI,54526.0,45.49,-90.89
31,39141,Ohio,Ross,9781.0,20,4.5,4.8,37,7.4,71.0,7.0,1757:01:00,1262.0,19921,4.6,4.7,10.2,OH,43101.0,39.46,-82.74
32,56011,Wyoming,Crook,5806.0,13,3.1,3.4,27,8.3,71.0,15.0,2470:01:00,1291.0,1543,3.2,3.8,12.1,WY,82710.0,44.63,-104.18
33,53001,Washington,Adams,5818.0,23,4.3,4.1,37,8.6,62.0,13.0,2167:01:00,1313.0,4638,5.4,4.3,12.3,WA,99105.0,46.88,-118.15
34,8107,Colorado,Routt,5683.0,11,3.1,3.7,16,8.1,86.0,8.0,814:01:00,1358.0,7452,2.7,4.1,14.7,CO,80428.0,40.7,-106.92
35,56045,Wyoming,Weston,5389.0,14,3.5,3.7,33,7.9,63.0,13.0,2309:01:00,1359.0,1632,3.5,5.1,13.0,WY,82701.0,43.84,-104.21
36,16075,Idaho,Payette,8672.0,17,3.9,4.0,35,7.6,67.0,14.0,2322:01:00,1387.0,5090,3.6,4.2,5.2,ID,83619.0,43.96,-116.91
37,26013,Michigan,Baraga,10471.0,16,4.2,4.4,36,7.4,26.0,8.0,938:01:00,1394.0,1994,6.1,4.7,9.5,MI,49861.0,46.53,-88.11
38,39075,Ohio,Holmes,5172.0,16,3.9,4.2,29,8.5,37.0,24.0,3996:01:00,1414.0,10201,3.3,3.7,11.4,OH,43804.0,40.44,-81.7
39,32015,Nevada,Lander,8814.0,18,4.1,4.1,35,8.7,91.0,12.0,5693:01:00,1453.0,1295,3.7,4.1,7.0,NV,89310.0,39.54,-117.19
